x,OCV
0.00396,2907.46
0.02387,2984.26
0.03959,3055.31
0.05845,3123.51
0.09303,3186
0.15904,3214.31
0.23133,3242.61
0.30677,3262.38
0.38222,3276.46
0.45766,3282.01
0.53624,3281.87
0.61482,3284.57
0.68712,3292.97
0.76256,3309.9
0.838,3318.29
0.91344,3321
0.97946,3340.78
