x,OCV
0.00396,2914.63
0.01386,2988.06
0.04158,3082.99
0.08119,3179.7
0.16238,3228.06
0.29307,3256.72
0.41188,3274.63
0.52475,3287.16
0.65941,3301.49
0.79604,3322.99
0.91287,3335.52
1.00198,3346.27
