x,OCV
2.77556e-17,2812.54
0.03762,2914.63
0.08515,3077.61
0.15644,3168.96
0.24158,3215.52
0.37822,3242.39
0.48515,3256.72
0.57624,3265.67
0.67723,3274.63
0.77426,3287.16
0.85149,3296.12
0.92475,3306.87
0.97624,3308.66
1.00792,3314.03
