x,OCV_40
-0.00015,3023.7
0.02609,3112.96
0.05974,3188.52
0.09878,3205.56
0.15138,3218.52
0.20069,3237.41
0.25288,3249.63
0.29725,3270.37
0.34697,3287.04
0.39917,3294.44
0.49822,3293.7
0.60015,3295.56
0.69919,3322.22
0.74933,3330.37
0.8007,3332.22
0.85044,3331.11
0.90017,3331.48
0.93963,3331.48
0.97333,3336.67
