x,OCV_25
-7e-05,2906.36
0.029,3061.64
0.07002,3186.53
0.1485,3216.55
0.2011,3234.34
0.25329,3249.91
0.29725,3272.88
0.34944,3282.52
0.39917,3289.56
0.49822,3291.79
0.60016,3291.79
0.70125,3308.46
0.74892,3327.36
0.80112,3329.59
0.85331,3331.81
0.92606,3331.07
0.97086,3337
