x,n10
69.7,-9.8575
483.5,-9.3838
915.4,-9.1723
1362.4,-9.1003
1799.9,-9.069
2246.9,-8.9759
2698.2,-8.9835
3145.2,-8.9738
3579.8,-8.8982
4028.3,-8.9351
4479.5,-8.9768
4925.1,-8.8488
5379.1,-8.8174
5829,-8.8456
6281.7,-8.8213
6724.5,-8.7923
7175.7,-8.7522
7611.3,-8.7483
8081.8,-8.7902
8529.5,-8.7578
8947.8,-8.7302
9402.7,-8.7007
9858.2,-8.646
