x,r25
23,25.0313
166.8,25.7319
386.1,26.1948
696.4,26.5885
1097.9,26.7755
1492.7,26.8443
1911,26.864
2329.2,26.8649
2751.8,26.9188
3173.4,26.9188
3590.9,26.9434
3999.9,26.9911
4421.6,27.0141
4843.3,27.0542
5248.1,27.1467
