x,r25
2.2,25.0555
99.4,26.9125
133.2,27.5274
183.9,28.1423
244.4,28.7377
281.7,29.3476
342.5,29.9625
387.4,30.5774
487,31.4612
710.9,32.3536
1027.6,32.8361
1453.7,33.0302
1847.9,33.1118
2247.4,33.196
2683.2,33.2921
3214.6,33.6324
