x,r10
20.1,10.04
99.1,10.5682
244.6,11.0631
482.3,11.5662
832.6,11.8892
1243.3,12.0009
1680.1,12.0444
2086.5,12.0692
2531.9,12.0815
2960,12.0753
3392.4,12.0926
3811,12.121
4243.4,12.1458
4658.5,12.2201
5090.9,12.3143
