x,n10
6.7,-9.8575
96.4,-5.2961
141.2,-3.5274
177.2,-2.3637
231.1,-1.2001
284.9,-0.0365
356.8,1.0805
419.8,2.0347
590.6,3.0818
896.5,3.9893
1310.3,4.4778
1742.1,4.7335
2173.9,4.966
