x,r0
11.4,0.0889
66.8,0.6276
147.4,1.2433
260.6,1.8127
479.5,2.5053
824.3,3.0669
1284.8,3.3592
1767.9,3.5283
2251,3.5896
2751.7,3.651
3244.9,3.7239
3738.1,3.8314
4226.2,3.8851
4727,3.9733
5210.1,4.0655
