x,r25
116.1,25.0678
520.9,25.1908
942.6,25.2645
1350.8,25.2988
1769.1,25.3086
2194.1,25.3235
2615.8,25.3235
3034.1,25.3186
3455.8,25.3186
3874.2,25.3138
4299.2,25.3382
4720.9,25.3285
5139.2,25.3236
5564.2,25.3234
5985.9,25.3332
6404.2,25.3283
6825.9,25.3235
7250.9,25.3333
7672.6,25.3186
8094.3,25.3333
8516,25.3236
8937.7,25.3285
9366,25.314
9777.7,25.3336
