x,r0
4.3,0.049
48.8,2.4634
117.3,4.0677
157.5,4.8373
197.8,5.6069
238.1,6.3765
298.5,7.1461
379.1,7.8772
504.9,8.5159
801.9,9.0622
1285,9.2467
1768.1,9.3927
2271.3,9.4849
2734.3,9.7002
3109.4,9.8422
