x,r0
76.9,0.1273
537.3,0.358
1025.5,0.4656
1526.2,0.5
2029.5,0.5382
2510.1,0.5649
3013.3,0.5917
3521.6,0.6722
4027.3,0.7028
4530.6,0.7257
5028.8,0.7139
5532,0.7368
6037.8,0.7519
6538.5,0.7556
7041.8,0.7592
7542.5,0.759
8030.7,0.778
8528.9,0.8009
9034.6,0.8045
9550.5,0.8273
