x,r10
106.3,10.0694
521.4,10.2184
936.5,10.268
1368.9,10.2928
1801.3,10.3176
2233.8,10.3176
2666.2,10.3175
3098.6,10.3175
3531,10.3175
3963.4,10.3423
4395.8,10.3174
4828.3,10.3173
5260.7,10.3173
5675.8,10.2924
6108.2,10.2923
6540.6,10.2923
6973.1,10.2922
7405.5,10.2922
7837.9,10.2922
8270.3,10.317
8702.7,10.3169
9135.1,10.3169
9567.5,10.3168
