x,c15
5.60772,-0.0869
5.64493,0.3053
6.43321,0.821
6.48488,1.0109
7.11761,1.1656
7.14187,0.9933
7.17034,1.1499
7.17772,1.2928
7.48459,1.1656
7.50463,0.9796
7.53943,1.2928
7.83787,1.4005
7.88849,1.6061
7.88954,1.702
8.18481,1.6981
8.20907,1.5885
8.24387,1.9194
8.41327,1.7343
8.44172,1.5571
8.47186,1.9518
8.62586,1.728
8.67441,1.9953
8.67943,2.1383
8.74304,1.7809
8.78657,2.1694
