x,c45
5.77264,1.3362
5.7846,1.5582
5.80055,1.6988
6.11018,1.6345
6.46672,1.7927
6.48179,1.9202
6.49016,2.0445
6.6576,1.9947
6.88196,2.0754
6.89368,1.9511
7.01256,2.2028
7.15823,2.2462
7.17329,2.4048
7.26036,2.355
7.37254,2.4171
7.45123,2.4513
7.54332,2.4326
7.59523,2.5444
7.66388,2.4667
