x,c60
5.78726,2.1675
5.80187,2.2785
5.80453,2.0885
6.48179,2.576
6.49519,2.6692
6.49686,2.4641
6.88893,2.8035
6.90222,2.6382
7.12283,2.9958
7.1308,3.092
7.13744,2.9045
7.20522,2.9341
7.36203,3.1857
7.37001,3.2473
7.37399,3.0746
